,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.03909420967102051,0.006687005907036192,0.002593851089477539,0.0004894740652347517,0.01,10,poly,"{'C': 0.01, 'gamma': 10, 'kernel': 'poly'}",0.9891696750902527,0.9638989169675091,0.9891696750902527,0.9855595667870036,0.9819494584837545,0.9819494584837545,0.0094140106934334,3
11,0.05904312133789062,0.004653221203321102,0.014560317993164063,0.00048714706265293124,0.01,10,sigmoid,"{'C': 0.01, 'gamma': 10, 'kernel': 'sigmoid'}",0.6967509025270758,0.6859205776173285,0.7003610108303249,0.6967509025270758,0.6859205776173285,0.6931407942238268,0.006040866617574559,42
12,0.04029097557067871,0.0025710092639215716,0.037104463577270506,0.0019374441136300708,0.01,scale,rbf,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
13,0.022339820861816406,0.002054118521228169,0.005785226821899414,0.00039947062455077885,0.01,scale,linear,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.7075812274368231,0.703971119133574,0.7148014440433214,0.7220216606498195,0.703971119133574,0.7104693140794224,0.007000259721900858,30
14,0.016156816482543947,0.0009771068995524101,0.003989362716674804,0.0006312036058781022,0.01,scale,poly,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'poly'}",0.9458483754512635,0.9061371841155235,0.9097472924187726,0.9205776173285198,0.9386281588447654,0.924187725631769,0.015653056598324038,16
15,0.05166196823120117,0.003179148359430451,0.012167119979858398,0.0014656359252242773,0.01,scale,sigmoid,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.7003610108303249,0.0,34
16,0.026129674911499024,0.0020348076158524533,0.021941709518432616,0.0018916499103266771,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.9314079422382672,0.8989169675090253,0.8880866425992779,0.8989169675090253,0.9205776173285198,0.907581227436823,0.015917261866461096,18
17,0.019548702239990234,0.0017379834004985397,0.004187154769897461,0.0009805842655901406,1,0.1,linear,"{'C': 1, 'gamma': 0.1, 'kernel': 'linear'}",0.8592057761732852,0.8411552346570397,0.851985559566787,0.8303249097472925,0.8736462093862816,0.8512635379061372,0.014867335943663528,23
18,0.023337650299072265,0.002645987412485335,0.00518641471862793,0.0009776038339899167,1,0.1,poly,"{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.8231046931407943,0.8375451263537906,0.8375451263537906,0.8339350180505415,0.8303249097472925,0.8324909747292418,0.005403115359962361,28
19,0.027326393127441406,0.0023259314180683246,0.006981897354125977,0.0006302244968726661,1,0.1,sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.8483754512635379,0.8411552346570397,0.8483754512635379,0.8375451263537906,0.8700361010830325,0.8490974729241877,0.01127833888217569,27
20,0.018351125717163085,0.0004882863582776009,0.012765121459960938,0.0014658110545982157,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.9927797833935018,0.9602888086642599,0.9747292418772563,0.9747292418772563,0.9747292418772563,0.9754512635379061,0.010312532026776684,7
21,0.015757179260253905,0.00039892347697118653,0.0037902355194091796,0.00039928071554378147,1,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.8592057761732852,0.8411552346570397,0.851985559566787,0.8303249097472925,0.8736462093862816,0.8512635379061372,0.014867335943663528,23
